Las letras que más ocurren son: e, a, o, r, s, i.

Simbolo 	 Ocurrencias
in		0.009074
io		0.008921
ec		0.008729
qu		0.008691
ro		0.008653
ca		0.008232
lo		0.008193
na		0.008002
ne		0.008002
nd		0.007964
ia		0.007657
od		0.006968
si		0.006968
ic		0.006930
li		0.006777
le		0.006509
me		0.006432
no		0.006126
ti		0.006049
tr		0.006049
sa		0.005858
am		0.005781
po		0.005781
em		0.005666
sd		0.005628
da		0.005590
nc		0.005552
oc		0.005475
di		0.005322
ie		0.005245
om		0.005092
ee		0.005016
sc		0.004786
ed		0.004671
is		0.004671
so		0.004633
ab		0.004556
ae		0.004556
ol		0.004441
pa		0.004365
ap		0.004250
su		0.004250
ni		0.004173
ce		0.003943
oe		0.003943
mo		0.003905
ea		0.003867
nu		0.003829
ot		0.003752
pr		0.003714
ba		0.003599
sp		0.003561
mi		0.003522
et		0.003484
op		0.003407
cu		0.003369
ns		0.003331
it		0.003254
rt		0.003254
at		0.003216
pe		0.003216
cr		0.003178
ha		0.003063
mp		0.002986
ve		0.002948
za		0.002948
aq		0.002910
au		0.002910
ui		0.002910
gr		0.002871
id		0.002833
ua		0.002833
im		0.002795
oa		0.002795
ep		0.002757
gu		0.002757
rr		0.002757
sm		0.002757
if		0.002718
us		0.002718
nl		0.002680
rm		0.002642
ll		0.002603
ig		0.002565
pt		0.002527
ut		0.002527
av		0.002412
rc		0.002412
eg		0.002374
fi		0.002374
je		0.002374
fr		0.002335
uc		0.002335
eu		0.002297
ib		0.002297
il		0.002259
ip		0.002259
og		0.002259
aa		0.002182
tu		0.002182
br		0.002144
iz		0.002144
pu		0.002067
ay		0.002029
ct		0.001991
cl		0.001953
ir		0.001953
aj		0.001876
af		0.001838
rl		0.001838
sl		0.001838
be		0.001799
lc		0.001799
ss		0.001799
ch		0.001761
ga		0.001761
lm		0.001761
rs		0.001761
vi		0.001761
bl		0.001723
ng		0.001723
ur		0.001723
va		0.001685
ex		0.001608
lt		0.001608
pl		0.001608
ul		0.001608
ej		0.001531
ou		0.001531
bi		0.001493
go		0.001493
lp		0.001493
ev		0.001455
ob		0.001455
oy		0.001455
fo		0.001417
ls		0.001417
oq		0.001417
rd		0.001417
ld		0.001378
eo		0.001302
mb		0.001302
sy		0.001302
vo		0.001302
eb		0.001263
ge		0.001263
lg		0.001263
ry		0.001263
eh		0.001225
ag		0.001187
ei		0.001187
gi		0.001187
ix		0.001187
nm		0.001187
sq		0.001187
lu		0.001149
ai		0.001072
du		0.001072
hi		0.001072
ho		0.001072
mu		0.001072
yo		0.001072
nf		0.001034
he		0.000995
iv		0.000995
ru		0.000995
eq		0.000957
np		0.000957
sr		0.000957
up		0.000957
ux		0.000957
ah		0.000919
ao		0.000919
ef		0.000919
pi		0.000919
ya		0.000919
sf		0.000881
bo		0.000842
bu		0.000804
cc		0.000804
fa		0.000804
sv		0.000804
ud		0.000804
fu		0.000766
sh		0.000766
xt		0.000766
yd		0.000766
nr		0.000727
ov		0.000727
az		0.000689
fe		0.000689
ja		0.000689
gn		0.000651
jo		0.000651
xe		0.000651
rn		0.000613
rp		0.000613
um		0.000613
xi		0.000613
ye		0.000613
ys		0.000613
ii		0.000574
lf		0.000574
nq		0.000574
nv		0.000574
of		0.000574
rq		0.000574
ub		0.000574
yp		0.000574
ez		0.000536
ln		0.000536
nb		0.000536
oi		0.000536
rg		0.000536
sb		0.000536
yl		0.000536
gl		0.000498
lr		0.000498
oh		0.000498
ug		0.000498
yu		0.000498
zo		0.000498
cn		0.000459
uy		0.000459
yc		0.000459
añ		0.000421
ey		0.000421
rv		0.000421
xp		0.000421
ju		0.000383
lq		0.000383
nz		0.000383
sn		0.000383
ño		0.000383
dr		0.000345
nn		0.000345
ny		0.000345
pc		0.000345
xc		0.000345
yq		0.000345
yt		0.000345
oo		0.000306
vu		0.000306
bt		0.000268
fl		0.000268
ft		0.000268
gm		0.000268
lv		0.000268
nh		0.000268
tm		0.000268
yg		0.000268
cs		0.000230
nj		0.000230
ow		0.000230
rf		0.000230
sg		0.000230
sx		0.000230
tw		0.000230
xl		0.000230
xy		0.000230
dd		0.000191
ds		0.000191
tc		0.000191
ym		0.000191
ña		0.000191
ax		0.000153
cm		0.000153
cp		0.000153
dc		0.000153
dp		0.000153
eñ		0.000153
ij		0.000153
iq		0.000153
iu		0.000153
lb		0.000153
lh		0.000153
ms		0.000153
ox		0.000153
rh		0.000153
uv		0.000153
wa		0.000153
wi		0.000153
xa		0.000153
xd		0.000153
xo		0.000153
xs		0.000153
xv		0.000153
xw		0.000153
hu		0.000115
ki		0.000115
oj		0.000115
ok		0.000115
sk		0.000115
th		0.000115
tt		0.000115
uh		0.000115
uo		0.000115
wc		0.000115
wm		0.000115
ws		0.000115
xq		0.000115
yf		0.000115
yn		0.000115
yr		0.000115
zl		0.000115
bj		0.000077
bs		0.000077
cd		0.000077
ck		0.000077
dh		0.000077
dj		0.000077
dl		0.000077
dm		0.000077
dn		0.000077
ew		0.000077
gd		0.000077
gh		0.000077
gs		0.000077
ih		0.000077
ka		0.000077
ke		0.000077
lx		0.000077
ly		0.000077
mc		0.000077
mg		0.000077
nx		0.000077
oz		0.000077
rb		0.000077
tp		0.000077
uf		0.000077
uz		0.000077
xh		0.000077
xn		0.000077
xu		0.000077
xx		0.000077
yb		0.000077
yh		0.000077
yv		0.000077
zq		0.000077
zu		0.000077
ñe		0.000077
bm		0.000038
cg		0.000038
cy		0.000038
dq		0.000038
dt		0.000038
dy		0.000038
ek		0.000038
ff		0.000038
fs		0.000038
fv		0.000038
gc		0.000038
gg		0.000038
hd		0.000038
hk		0.000038
hl		0.000038
ht		0.000038
iy		0.000038
iñ		0.000038
jl		0.000038
kh		0.000038
kn		0.000038
kr		0.000038
kx		0.000038
lj		0.000038
lz		0.000038
ml		0.000038
mm		0.000038
mn		0.000038
mt		0.000038
mx		0.000038
my		0.000038
nñ		0.000038
ph		0.000038
pm		0.000038
pp		0.000038
py		0.000038
ql		0.000038
rj		0.000038
rk		0.000038
rw		0.000038
rz		0.000038
td		0.000038
tf		0.000038
ts		0.000038
ty		0.000038
vd		0.000038
vv		0.000038
vw		0.000038
we		0.000038
wh		0.000038
wo		0.000038
xr		0.000038
yi		0.000038
yx		0.000038
yy		0.000038
zb		0.000038
zc		0.000038
zd		0.000038
ze		0.000038
zi		0.000038
zp		0.000038
zy		0.000038


Trigrama 	 Ocurrencias
aaa		   1
aac		   4
aad		   2
aae		   4
aaf		   1
aag		   2
aah		   3
aal		  20
aam		   4
aan		   5
aap		   2
aar		   2
aas		   3
aat		   1
aau		   1
aay		   1
aañ		   1
aba		  61
abe		  16
abi		   9
abl		  21
abo		   5
abr		   5
abu		   2
aca		  27
acc		   4
ace		  20
ach		   4
aci		  82
acl		  10
aco		  60
acr		  26
acs		   6
act		  21
acu		   6
ada		  57
adc		   2
add		   4
ade		 113
adi		  16
adj		   2
adl		   1
adm		   1
ado		 120
adp		   2
adr		   2
ads		   2
adu		   5
ady		   1
aed		   3
aei		   1
aej		   1
ael		  27
aem		   2
aen		  39
aep		   3
aer		   5
aes		  30
aex		   8
afe		   1
afi		  35
afo		   6
afr		   2
afu		   4
aga		   5
age		  10
agi		   2
agn		   2
ago		   1
agr		   7
agu		   4
aha		   9
ahe		   2
ahi		   7
aho		   6
aid		   1
aig		   1
aii		   1
aim		   3
ain		  20
ais		   2
aja		   6
aje		  31
ajo		  10
aju		   2
ala		  63
alb		   2
alc		   7
ald		  17
ale		  49
alf		   7
alg		  32
alh		   1
ali		  49
all		  19
alm		  19
aln		   4
alo		  20
alp		   9
alq		   9
alr		   1
als		   6
alt		   5
alu		   3
alv		   2
aly		   2
alz		   1
ama		  55
amb		  16
amc		   1
ame		  31
ami		  19
amm		   1
amn		   1
amo		  11
amp		   8
amu		   8
ana		  30
anb		   4
anc		  17
and		  70
ane		  25
anf		   1
ang		   5
ani		  14
anl		   7
anm		   2
ann		   4
ano		  33
anp		   4
anq		   3
ans		   4
ant		  60
anu		  20
any		   2
anz		   7
aoa		   1
aob		   5
aoc		   5
aod		   1
aoe		   2
aol		   1
aop		   4
aoq		   1
aos		   1
aot		   3
apa		  34
apc		   1
ape		   8
aph		   1
api		   6
apl		   3
apo		  29
apr		  18
apt		   6
apu		   5
aqu		  76
ara		  97
arb		   1
arc		  27
ard		   9
are		  54
arg		   8
arh		   1
ari		  45
ark		   1
arl		  20
arm		   5
arn		   5
aro		  12
arp		   6
arq		   3
arr		  16
ars		   8
art		  40
aru		   6
arv		   2
ary		  13
asa		  28
asb		   3
asc		  34
asd		  41
ase		  68
asf		   9
ash		   7
asi		  47
asl		  26
asm		  20
asn		   2
aso		  23
asp		  28
asq		   9
asr		  10
ass		  16
ast		  18
asu		  16
asv		  13
asx		   3
asy		  10
ata		  14
ate		  21
ati		  20
ato		   8
atr		  13
ats		   1
att		   1
atu		   6
auc		   1
aud		   2
aug		   1
aul		   2
aun		  47
aur		   1
aus		   4
aut		  18
ava		  14
ave		  35
avi		   4
avo		   5
avu		   4
avv		   1
axc		   1
axd		   1
axe		   1
axi		   1
aya		   9
ayc		   2
aye		   3
ayf		   1
ayg		   1
ayl		   3
ayo		  14
ayp		   3
ayq		   4
ays		   1
ayt		   3
ayu		   9
aza		   7
azo		   9
azu		   2
aña		   4
año		   7
baa		   8
bab		   5
bac		   4
bad		   5
bae		  12
baj		  14
bal		   7
bam		   1
ban		   6
bao		   2
bap		   1
baq		   1
bar		   5
bas		  16
bat		   4
bau		   3
beb		   2
bec		   1
bed		   1
bee		   1
beh		   2
bel		  10
bem		   1
ben		   2
beo		   1
bep		   2
beq		   1
ber		  16
bes		   1
bet		   5
bez		   1
bia		   5
bib		   2
bid		   2
bie		   9
big		   2
bin		   3
bio		   9
bir		   5
bit		   2
bje		   2
bla		  10
ble		  23
bli		  11
blo		   1
bmx		   1
boc		   7
bol		   3
bor		   7
bos		   3
bot		   1
boy		   1
bra		  10
bre		  20
bri		   4
bro		  22
bse		   2
bte		   6
bth		   1
buc		   4
bue		   2
bug		   1
bui		   5
bun		   1
bur		   2
bus		   4
but		   1
buy		   1
caa		   4
cab		  10
cac		  11
cad		  31
cae		   5
cag		   7
cah		   1
caj		   1
cal		  10
cam		  14
can		  21
cao		   3
cap		   9
caq		   4
car		  36
cas		  40
cau		   2
cay		   4
caz		   2
cce		   2
cci		  19
cdc		   1
cdo		   1
cea		   3
ced		   8
cee		   1
cef		   1
ceg		   6
cel		   4
cem		   1
cen		  11
cep		   8
ceq		   1
cer		  22
ces		  36
ceu		   1
cgu		   1
cha		  11
chd		   1
che		  15
chi		   6
chk		   1
cho		  12
cia		  52
cib		   1
cic		   1
cid		   4
cie		  15
cif		  52
cil		   8
cim		   8
cin		   7
cio		 147
cip		   6
cir		   6
cis		   2
cit		   6
civ		   1
ckh		   1
ckx		   1
cla		  37
cle		   2
cli		   3
clo		   3
clu		   6
cmo		   2
cmu		   2
cni		   9
cnm		   1
cno		   2
coa		   3
cob		   1
coc		   2
cod		  10
coe		   4
cof		   1
coh		   1
coi		   2
col		  10
com		  81
con		 139
cop		  10
coq		   1
cor		  30
cos		  16
cot		   1
cou		   1
coy		   6
cpc		   1
cpe		   1
cpm		   1
cpo		   1
cre		  12
cri		  65
cro		   2
cry		   4
csa		   1
csc		   2
cse		   1
csq		   1
csy		   1
cta		   9
cte		   2
cth		   1
cti		   1
cto		  22
ctr		   8
ctu		   9
cua		  31
cub		   3
cuc		   3
cue		  14
cui		   2
cul		  15
cum		   6
cup		   5
cur		   5
cus		   1
cut		   2
cuy		   1
cye		   1
daa		   5
dab		   1
dac		   7
dad		  35
dae		   6
daf		   1
dag		   3
dah		   2
dal		  11
dam		   9
dan		   3
dao		   1
dap		   7
daq		   3
dar		  11
das		  23
dat		   7
dau		   4
dav		   3
day		   4
dch		   1
dco		   1
dcr		   1
dcu		   1
dde		   4
ddi		   1
dea		  17
deb		  23
dec		  64
ded		  13
dee		  24
def		  12
deg		   1
deh		   4
dei		  12
dej		   2
del		 175
dem		  19
den		  23
deo		   4
dep		  11
deq		   3
der		  27
des		  67
det		  17
deu		  27
dev		  13
dex		   4
dez		   1
dha		   2
dia		  19
dic		  28
did		   3
die		  12
dif		  11
dig		  11
dij		   1
dil		   1
din		   2
dio		   4
dir		  10
dis		  25
dit		   7
div		   3
diz		   2
dju		   2
dla		   2
dmi		   2
dne		   1
dno		   1
doa		  18
dob		   4
doc		  24
dod		  27
doe		  24
dof		   1
